Account_ID,Customer_Age,Annual_Income_USD,Credit_Score,Offer_Type,Discount_Percent,Credit_Limit_USD,Avg_Monthly_Spend_USD,Campaign_Cost_USD,Profit_Margin_Percent,Campaign_Channel,Region,Customer_Segment,Accepted_Offer,Retained_6_Months,Campaign_Date
ACC1000032,21,138664.69,761,Balance Transfer,17.59,13138.82,2556.21,116.1,5.5,Phone Call,Middle East,HNI,1,1,2025-12-06
ACC1000033,69,95972.77,735,Balance Transfer,15.39,23769.02,4583.44,16.73,38.22,Email,North America,SME,1,1,2024-08-29
ACC1000034,30,76755.27,840,Dining Rewards,30.69,33275.99,1224.25,19.88,27.48,Social Media,North America,HNI,1,1,2025-02-02
ACC1000035,47,93235.16,761,Low Interest,22.2,7296.52,5697.31,124.89,26.91,SMS,Latin America,Mass Market,1,1,2025-02-12
ACC1000036,63,83429.76,662,Premium Lifestyle,7.14,16629.81,5929.64,13.26,33.51,Social Media,Middle East,Affluent,1,1,2024-09-26
ACC1000037,65,88459.46,695,Balance Transfer,21.44,21750.08,4022.79,90.63,30.61,Email,Asia Pacific,SME,1,1,2025-03-22
ACC1000038,52,91412.92,687,Balance Transfer,30.75,22020.71,5281.01,115.64,8.61,SMS,Europe,HNI,1,1,2026-02-24
ACC1000039,68,28650.03,649,Travel Rewards,8.0,3620.78,6713.94,128.6,17.42,Branch,Middle East,Mass Market,0,1,2024-07-04
ACC1000040,39,49402.2,699,Balance Transfer,7.75,30519.61,3920.55,39.78,38.12,Social Media,Latin America,Mass Market,0,0,2025-09-09
ACC1000041,62,129410.0,724,Cashback,34.06,34713.47,5875.05,131.36,34.35,Social Media,Asia Pacific,Affluent,1,1,2025-02-20
ACC1000042,29,91773.28,752,Cashback,7.44,5157.05,6907.81,62.4,17.97,SMS,Middle East,Mass Market,1,0,2025-12-25
ACC1000043,45,22701.44,764,Cashback,26.25,24601.68,2708.11,108.71,13.71,Phone Call,North America,SME,1,1,2026-02-09
ACC1000044,65,74444.61,682,Travel Rewards,6.69,6822.08,910.93,100.89,31.11,SMS,Latin America,SME,0,1,2025-10-04
ACC1000045,69,76722.39,649,Travel Rewards,18.09,40303.35,6847.51,87.84,16.29,Social Media,Middle East,SME,1,0,2026-02-04
ACC1000046,57,100307.22,636,Low Interest,7.26,9144.56,1595.98,51.23,39.85,SMS,Middle East,Affluent,1,1,2024-06-28
ACC1000047,43,140694.09,651,Premium Lifestyle,13.32,10217.94,3299.52,59.47,25.43,Social Media,Latin America,HNI,1,0,2024-10-18
ACC1000048,47,85252.68,812,Low Interest,14.29,40875.96,4824.65,32.77,36.88,Branch,Latin America,Mass Market,1,0,2024-07-18
ACC1000049,25,35393.0,809,Travel Rewards,32.98,43437.13,412.01,13.69,18.18,SMS,North America,HNI,0,0,2025-11-30
ACC1000050,69,116171.33,659,Cashback,16.79,41629.05,4026.66,18.89,6.29,Branch,Middle East,Affluent,1,1,2024-08-20
ACC1000051,26,85273.71,814,Balance Transfer,27.5,45745.12,4137.53,111.66,31.5,SMS,North America,Mass Market,1,1,2025-03-30
ACC1000052,29,33942.3,732,Premium Lifestyle,25.15,31288.28,2571.32,25.9,28.51,Email,Europe,Mass Market,1,1,2026-04-11
ACC1000053,32,58102.24,850,Cashback,17.62,39448.74,4511.59,122.71,36.61,Social Media,North America,SME,1,0,2025-05-12
ACC1000054,54,99700.58,823,Travel Rewards,7.73,36593.45,3877.38,73.13,36.87,Social Media,Latin America,Affluent,1,1,2026-04-19
ACC1000055,37,74558.45,747,Balance Transfer,12.75,23497.65,6862.22,78.97,16.51,SMS,Middle East,SME,1,1,2025-10-13
ACC1000056,67,41962.44,729,Low Interest,15.37,44942.63,3370.34,103.46,11.03,SMS,Latin America,Student,1,1,2024-07-14
ACC1000057,25,36591.27,621,Travel Rewards,5.95,27887.05,3787.52,59.84,36.3,Email,North America,Student,1,1,2025-05-20
ACC1000058,47,54008.23,712,Dining Rewards,31.21,46122.75,521.44,48.76,33.22,Phone Call,Latin America,Student,0,1,2025-12-26
ACC1000059,35,98990.74,704,Premium Lifestyle,12.08,38237.82,3765.73,110.87,7.18,Email,North America,Mass Market,1,1,2025-07-15
ACC1000060,23,75858.62,758,Low Interest,20.96,6251.43,3187.15,84.57,13.49,Social Media,North America,Affluent,1,1,2025-04-22
ACC1000061,30,110687.99,713,Travel Rewards,7.68,27231.44,1709.19,58.01,21.59,SMS,Middle East,Student,1,1,2026-04-25
ACC1000062,38,77321.05,648,Travel Rewards,22.61,37526.53,3078.45,27.86,14.93,Phone Call,Europe,HNI,1,1,2025-12-15
ACC1000063,54,74663.18,601,Low Interest,14.91,46750.9,151.99,41.55,17.79,SMS,North America,Student,0,1,2025-02-09
ACC1000064,50,76455.65,650,Balance Transfer,17.31,49136.55,873.07,65.7,38.93,Email,North America,SME,1,1,2025-04-29
ACC1000065,69,128854.94,695,Cashback,29.63,36204.41,3791.75,76.73,34.35,Email,Europe,Affluent,1,1,2025-11-03
ACC1000066,24,83392.72,535,Low Interest,12.27,6627.0,4313.28,50.41,25.34,Phone Call,Latin America,Affluent,1,1,2026-04-06
ACC1000067,63,23112.6,774,Low Interest,18.63,27881.55,3887.56,38.24,28.96,Email,Europe,Student,1,1,2025-04-16
ACC1000068,29,90894.13,786,Cashback,19.15,21180.2,2507.19,140.13,34.07,Phone Call,Asia Pacific,Student,0,1,2025-12-18
ACC1000069,31,77597.69,690,Dining Rewards,22.23,42249.61,1064.43,121.34,12.06,Phone Call,Middle East,Student,1,1,2026-04-06
ACC1000070,25,94601.99,622,Travel Rewards,32.24,16493.63,4159.32,105.62,20.82,SMS,Asia Pacific,Affluent,1,1,2025-06-02
ACC1000071,58,15000.0,790,Cashback,22.32,18412.76,2801.23,84.46,7.33,Branch,Middle East,Mass Market,1,1,2026-03-21
ACC1000072,26,79955.83,734,Premium Lifestyle,15.05,7824.33,5578.77,96.81,23.67,Social Media,North America,Mass Market,1,1,2025-10-30
ACC1000073,58,99844.6,760,Balance Transfer,28.36,8013.27,1511.36,109.97,22.29,Phone Call,Middle East,SME,0,1,2025-01-25
ACC1000074,33,66903.75,641,Travel Rewards,28.92,8345.95,1681.83,111.12,30.2,Email,Middle East,Mass Market,1,1,2025-02-15
ACC1000075,56,96542.96,794,Travel Rewards,29.8,47994.66,2463.42,41.83,19.83,Email,Middle East,Mass Market,1,1,2026-04-07
ACC1000076,46,80415.93,850,Premium Lifestyle,23.34,1887.4,6117.65,140.5,24.78,SMS,Latin America,Mass Market,1,1,2026-01-13
ACC1000077,28,111149.12,740,Balance Transfer,16.23,4377.16,633.52,24.59,34.42,SMS,Middle East,SME,0,1,2025-10-27
ACC1000078,57,76671.75,765,Cashback,22.74,20551.13,477.86,56.93,33.1,Branch,North America,Student,1,1,2026-04-13
ACC1000079,45,28327.5,532,Premium Lifestyle,32.55,29766.34,326.64,137.78,13.69,Branch,Middle East,SME,1,1,2025-01-30
ACC1000080,44,106164.78,658,Dining Rewards,13.33,11784.76,1567.5,82.12,39.14,Social Media,Europe,HNI,0,0,2025-02-08
ACC1000081,42,152200.79,703,Travel Rewards,7.01,37748.06,1548.35,135.73,12.18,Social Media,Latin America,Affluent,0,0,2025-11-12
ACC1000082,50,84093.17,769,Premium Lifestyle,13.82,35988.9,3740.77,84.82,21.84,Social Media,Latin America,HNI,1,1,2024-08-12
ACC1000083,24,83695.27,684,Cashback,33.38,19292.16,1968.14,100.16,19.31,Email,Latin America,SME,1,1,2024-06-04
ACC1000084,27,72323.36,701,Balance Transfer,11.66,12322.67,4736.06,12.76,8.64,Email,North America,SME,1,1,2025-01-08
ACC1000085,53,126499.73,726,Travel Rewards,29.16,49447.71,4262.06,122.96,38.69,Branch,Asia Pacific,Affluent,1,1,2024-07-03
ACC1000086,34,92793.04,681,Dining Rewards,5.39,5189.92,1534.42,13.71,11.35,Email,Europe,HNI,1,1,2026-03-25
ACC1000087,22,81817.84,744,Dining Rewards,15.08,41430.26,2605.11,14.79,34.07,SMS,Latin America,SME,1,1,2024-05-18
ACC1000088,29,22395.92,667,Premium Lifestyle,33.45,38416.68,1066.78,131.59,22.06,Social Media,Middle East,SME,0,0,2025-04-12
ACC1000089,37,143354.36,532,Cashback,27.25,35243.45,2877.6,40.52,27.58,Branch,Asia Pacific,Mass Market,1,1,2024-12-22
ACC1000090,49,58807.21,653,Travel Rewards,5.55,45800.64,912.48,90.71,14.59,Social Media,North America,Mass Market,0,1,2025-07-19
ACC1000091,32,82680.89,758,Premium Lifestyle,23.02,33586.8,1310.06,138.02,19.66,Branch,Europe,HNI,1,1,2024-12-16
ACC1000092,22,90529.77,656,Dining Rewards,7.48,30554.45,1792.91,64.5,15.1,Branch,Europe,HNI,0,1,2026-01-11
ACC1000093,59,91230.06,707,Travel Rewards,16.9,47750.26,1031.51,77.73,14.45,Social Media,Middle East,Student,0,0,2025-05-22
ACC1000094,63,86237.55,637,Dining Rewards,19.23,17874.8,2525.63,67.79,29.67,Email,North America,Student,1,1,2025-12-31
ACC1000095,55,89992.13,731,Dining Rewards,25.84,14335.11,4172.59,60.54,8.21,Email,North America,HNI,1,1,2024-06-26
ACC1000096,30,81525.24,816,Travel Rewards,7.6,47950.37,5332.91,99.45,31.57,Social Media,Europe,Student,1,1,2025-10-23
ACC1000097,28,72895.03,600,Balance Transfer,11.64,49395.73,6614.01,15.52,29.7,Phone Call,Middle East,Mass Market,1,1,2024-11-28
ACC1000098,41,16425.39,683,Cashback,8.62,36820.16,1428.93,26.14,19.76,Email,Europe,SME,1,1,2024-12-07
ACC1000099,59,115699.0,537,Cashback,24.34,32858.2,2616.41,88.49,21.84,Social Media,Middle East,SME,0,0,2026-03-28
ACC1000100,46,67169.18,708,Travel Rewards,14.46,27435.07,5555.99,54.63,26.91,Phone Call,Europe,Mass Market,1,1,2025-10-19
ACC1000101,22,96401.99,702,Dining Rewards,28.96,49898.77,2519.91,117.41,19.07,Social Media,North America,HNI,1,1,2026-03-03
ACC1000102,64,24545.39,594,Travel Rewards,27.13,12700.08,862.27,59.65,15.05,SMS,North America,HNI,1,1,2025-05-06
ACC1000103,45,88802.25,685,Balance Transfer,6.35,6363.91,2802.25,27.42,38.47,Phone Call,Middle East,Affluent,0,0,2024-10-15
ACC1000104,26,99946.28,712,Travel Rewards,34.68,37424.29,548.41,66.22,34.32,SMS,Europe,Student,1,1,2026-05-03
ACC1000105,66,55867.8,668,Cashback,11.61,10135.47,5479.13,59.02,7.02,SMS,Asia Pacific,Student,0,1,2025-03-03
ACC1000106,55,93943.39,847,Premium Lifestyle,12.81,26247.15,3489.19,149.49,36.41,SMS,Asia Pacific,Affluent,1,1,2024-07-18
ACC1000107,67,71008.26,767,Premium Lifestyle,16.74,14375.01,3389.07,16.21,34.83,Email,Latin America,Mass Market,1,1,2025-01-25
ACC1000108,45,49483.31,706,Low Interest,17.25,19261.74,1892.3,111.28,22.36,SMS,Europe,Student,1,1,2024-06-17
ACC1000109,33,102224.84,702,Dining Rewards,22.14,33443.49,3852.07,131.03,30.69,Social Media,Europe,Affluent,1,1,2025-12-30
ACC1000110,48,99614.47,730,Cashback,25.92,34326.9,4368.42,115.38,10.55,SMS,Latin America,HNI,1,1,2025-02-12
ACC1000111,51,69986.46,708,Dining Rewards,15.05,37431.9,1209.24,124.52,34.12,Email,Asia Pacific,HNI,1,1,2025-09-14
ACC1000112,52,67552.11,664,Premium Lifestyle,21.8,6676.35,2699.2,11.27,33.65,Branch,Latin America,SME,1,1,2024-05-14
ACC1000113,27,91140.67,702,Dining Rewards,15.26,31998.47,6530.99,24.35,37.8,Email,North America,HNI,1,1,2026-02-05
ACC1000114,47,89712.59,663,Travel Rewards,26.26,24205.12,499.65,20.46,34.83,Branch,Asia Pacific,Mass Market,0,0,2025-06-05
ACC1000115,32,58232.34,722,Cashback,27.75,2204.76,252.65,55.31,22.1,Branch,Latin America,HNI,0,0,2025-05-09
ACC1000116,46,71610.25,626,Premium Lifestyle,33.33,6007.49,5994.05,83.78,33.91,Social Media,Latin America,SME,1,1,2026-02-25
ACC1000117,67,108655.6,778,Balance Transfer,13.2,47592.31,1142.3,70.53,38.03,Email,Latin America,SME,1,1,2025-02-12
ACC1000118,26,64689.35,792,Travel Rewards,14.36,16716.39,5098.52,114.42,12.01,Social Media,North America,Student,1,1,2025-01-04
ACC1000119,38,72535.46,767,Cashback,34.05,10090.75,6093.5,118.72,31.98,Branch,Middle East,Affluent,1,1,2025-02-27
ACC1000120,23,55500.8,756,Dining Rewards,32.36,48408.05,1379.67,74.69,5.04,Phone Call,North America,HNI,1,1,2024-11-13
ACC1000121,40,34251.86,681,Balance Transfer,19.75,4146.24,4115.6,47.66,32.91,Social Media,North America,HNI,1,1,2024-07-26
ACC1000122,28,133884.68,676,Balance Transfer,16.87,48760.29,5081.02,101.98,31.5,Social Media,Latin America,HNI,0,0,2024-09-20
ACC1000123,31,45990.72,697,Low Interest,12.26,49346.47,1083.22,79.84,26.64,Social Media,Middle East,Affluent,1,1,2025-01-11
ACC1000124,52,105694.24,705,Travel Rewards,7.48,41401.19,2568.83,55.09,39.21,Phone Call,Latin America,Affluent,1,1,2025-01-31
ACC1000125,35,60196.12,673,Balance Transfer,8.14,32185.08,4974.68,14.42,37.77,Branch,Asia Pacific,Student,1,1,2026-02-19
ACC1000126,32,86797.89,740,Balance Transfer,29.05,17633.06,5722.29,21.22,36.32,Email,Asia Pacific,HNI,1,1,2025-06-12
ACC1000127,46,57608.97,698,Travel Rewards,9.92,22491.75,5101.3,93.06,27.76,Phone Call,Middle East,SME,1,1,2025-11-12
ACC1000128,39,90685.06,665,Premium Lifestyle,24.76,25411.59,3932.01,110.69,13.0,Social Media,Latin America,Student,0,1,2025-05-15
ACC1000129,23,69731.96,654,Low Interest,11.62,21501.59,1504.69,127.66,11.1,SMS,Middle East,Student,1,1,2026-04-08
ACC1000130,44,19070.05,645,Premium Lifestyle,16.13,49394.83,376.75,131.38,25.25,SMS,North America,HNI,0,1,2024-09-09
ACC1000131,56,26011.43,665,Balance Transfer,22.77,45705.8,1553.57,97.22,27.1,Branch,Asia Pacific,Mass Market,0,1,2024-10-30
ACC1000132,28,124709.65,607,Travel Rewards,23.98,19269.58,3637.04,67.82,7.42,Social Media,Europe,Affluent,1,1,2025-10-15
ACC1000133,67,121267.68,808,Travel Rewards,24.88,5667.81,4599.65,53.7,18.97,Email,North America,Affluent,1,1,2025-10-30
ACC1000134,21,60968.96,720,Low Interest,34.09,23235.69,1728.75,20.29,10.94,Branch,North America,Student,1,1,2024-10-31
ACC1000135,50,70095.98,631,Low Interest,22.64,47480.58,1842.44,60.3,18.28,Branch,Europe,Student,0,0,2025-01-24
ACC1000136,32,111435.28,694,Low Interest,29.17,29682.36,6091.07,38.82,8.92,Phone Call,Europe,Affluent,1,1,2024-12-31
ACC1000137,57,71072.52,637,Premium Lifestyle,33.02,16491.65,3599.92,15.82,10.19,Email,North America,Student,0,0,2024-11-04
ACC1000138,63,77032.61,724,Travel Rewards,12.63,26564.77,2464.31,84.51,9.4,SMS,Middle East,Student,1,1,2024-07-29
ACC1000139,62,53019.47,730,Cashback,10.65,36810.64,1177.53,42.84,38.72,Branch,Europe,Mass Market,1,1,2026-02-02
ACC1000140,46,71914.68,698,Low Interest,12.32,41712.98,6065.8,117.59,8.96,SMS,Latin America,SME,1,0,2024-05-26
ACC1000141,21,94161.91,631,Balance Transfer,16.82,32910.42,835.49,102.1,39.98,Branch,Asia Pacific,Student,0,0,2025-01-26
ACC1000142,61,67141.01,669,Balance Transfer,8.27,32875.07,5379.82,139.59,20.34,Branch,Latin America,SME,0,1,2026-02-19
ACC1000143,43,113692.7,684,Low Interest,8.61,27679.97,139.73,55.44,17.83,SMS,Latin America,Student,0,1,2024-09-19
ACC1000144,49,28418.19,681,Dining Rewards,16.2,12136.21,605.05,94.48,28.39,SMS,Asia Pacific,SME,1,1,2026-03-08
ACC1000145,23,93671.91,703,Low Interest,30.42,45797.59,5714.99,25.25,10.21,SMS,Asia Pacific,Student,1,1,2025-10-05
ACC1000146,56,116528.18,733,Cashback,29.39,36188.03,6693.11,12.55,11.85,Social Media,Europe,HNI,1,1,2025-02-07
ACC1000147,35,78126.03,696,Dining Rewards,6.81,46787.37,2526.2,24.2,22.01,Social Media,Middle East,Mass Market,1,1,2026-01-08
ACC1000148,47,76733.87,746,Travel Rewards,22.43,5391.69,5051.69,65.99,39.19,SMS,Europe,Student,1,1,2026-02-05
ACC1000149,27,45924.01,733,Premium Lifestyle,20.75,35743.27,837.45,89.42,13.98,SMS,Europe,Mass Market,0,0,2024-11-07
ACC1000150,27,61151.11,769,Low Interest,20.79,6502.91,117.83,99.32,23.03,Phone Call,Asia Pacific,SME,0,0,2026-01-16
ACC1000151,35,32921.84,804,Low Interest,30.2,45101.13,2538.61,43.16,32.32,Phone Call,North America,Affluent,1,1,2024-07-01
ACC1000152,59,54795.28,716,Low Interest,23.72,23136.62,4147.6,33.52,30.79,Phone Call,Middle East,Mass Market,1,1,2025-03-11
ACC1000153,37,58575.29,643,Balance Transfer,11.91,11103.12,4501.93,45.96,27.12,Phone Call,Latin America,Mass Market,1,1,2026-01-06
ACC1000154,55,125168.38,755,Dining Rewards,18.28,22843.75,5099.17,12.21,16.94,Social Media,Latin America,Student,1,1,2025-09-04
ACC1000155,58,26308.62,733,Balance Transfer,7.38,5197.25,6269.92,36.86,16.32,Branch,Middle East,Affluent,1,1,2025-01-03
ACC1000156,24,112156.5,687,Low Interest,25.09,4426.65,4517.16,47.96,25.75,SMS,Asia Pacific,Student,1,1,2025-07-02
ACC1000157,23,30012.38,620,Low Interest,34.86,22871.27,2401.63,91.27,8.11,Email,Latin America,HNI,0,0,2025-06-29
ACC1000158,67,80080.82,615,Premium Lifestyle,7.9,23068.18,5317.53,58.66,28.27,Phone Call,Europe,Student,0,1,2025-03-03
ACC1000159,65,52401.05,747,Travel Rewards,25.15,5553.53,1873.63,120.31,35.26,Branch,Middle East,Mass Market,1,1,2025-02-15
ACC1000160,54,54538.97,629,Low Interest,16.43,17969.77,1749.48,81.36,33.89,Branch,Middle East,Mass Market,1,0,2025-06-07
ACC1000161,38,100089.71,701,Cashback,19.91,49615.74,5974.83,39.19,37.57,Phone Call,Europe,Student,1,1,2024-06-11
ACC1000162,55,86191.77,820,Travel Rewards,26.64,7922.62,1562.68,124.62,16.29,Email,Asia Pacific,Student,1,1,2025-12-29
ACC1000163,55,75845.43,699,Dining Rewards,24.23,41301.55,1014.42,130.68,37.3,SMS,Latin America,HNI,1,1,2026-03-29
ACC1000164,66,75310.58,621,Dining Rewards,16.96,8172.33,2635.99,19.54,5.9,Phone Call,Asia Pacific,Student,1,0,2024-06-05
ACC1000165,32,72885.04,729,Dining Rewards,14.35,25800.95,3132.63,24.79,27.43,Email,Latin America,Mass Market,1,1,2025-06-19
ACC1000166,43,68596.71,789,Premium Lifestyle,6.74,49748.45,498.69,107.3,39.43,Branch,North America,HNI,0,0,2026-01-25
ACC1000167,29,53726.21,751,Travel Rewards,10.33,34889.28,4364.56,98.65,13.01,Email,North America,Mass Market,1,1,2025-01-30
ACC1000168,49,89985.81,837,Travel Rewards,17.78,7404.81,6217.57,72.97,11.81,SMS,North America,SME,1,1,2024-07-19
ACC1000169,34,62813.93,630,Travel Rewards,33.91,13180.43,1023.25,68.6,32.66,SMS,Europe,Student,1,1,2026-03-06
ACC1000170,59,29017.94,761,Premium Lifestyle,30.03,31835.64,1472.11,19.05,6.49,Email,Middle East,Affluent,1,1,2025-11-07
ACC1000171,31,110897.15,690,Low Interest,7.94,24923.82,1135.34,55.45,30.81,Social Media,Asia Pacific,Affluent,0,0,2025-06-02
ACC1000172,49,119135.11,687,Balance Transfer,31.76,47811.4,5529.63,54.16,29.08,Branch,North America,Affluent,1,1,2025-02-11
ACC1000173,30,72370.85,709,Dining Rewards,28.44,41431.48,3518.62,64.09,20.75,Email,Middle East,Mass Market,1,1,2025-01-02
ACC1000174,43,39261.3,703,Dining Rewards,27.12,26098.87,4793.57,15.83,7.97,Branch,Latin America,Student,1,1,2025-05-24
ACC1000175,44,15000.0,711,Premium Lifestyle,18.86,49587.83,6798.17,141.92,32.43,SMS,North America,SME,1,1,2026-02-14
ACC1000176,25,110571.12,743,Premium Lifestyle,12.95,2026.3,666.98,145.5,15.34,SMS,North America,HNI,1,1,2024-10-05
ACC1000177,22,49158.49,647,Premium Lifestyle,7.08,48031.5,3399.96,135.41,16.28,Branch,North America,SME,1,1,2024-12-12
ACC1000178,22,118668.56,807,Cashback,27.44,40776.72,4629.7,27.93,16.84,Social Media,Middle East,Student,1,1,2025-08-03
ACC1000179,45,100806.13,572,Premium Lifestyle,16.66,9020.51,1989.16,139.96,28.66,Social Media,North America,SME,0,1,2025-10-25
ACC1000180,41,100814.2,665,Premium Lifestyle,30.84,42479.2,6440.59,45.31,31.43,Social Media,North America,Student,1,1,2025-08-31
ACC1000181,60,36193.24,714,Low Interest,6.62,16682.93,5296.99,47.71,23.88,Email,Latin America,HNI,1,1,2024-10-14
ACC1000182,41,99380.68,734,Premium Lifestyle,11.41,25786.78,5900.85,112.59,23.98,Phone Call,Europe,Student,1,1,2024-06-07
ACC1000183,39,105058.57,712,Travel Rewards,18.01,8881.56,3950.49,123.65,30.96,Branch,Asia Pacific,SME,0,1,2024-09-02
ACC1000184,55,113639.47,674,Balance Transfer,11.12,28199.16,5158.19,96.24,11.58,Phone Call,Latin America,Student,1,0,2025-03-17
ACC1000185,56,31504.3,633,Premium Lifestyle,9.47,15974.61,6148.89,149.49,17.89,Branch,Asia Pacific,HNI,1,1,2025-07-25
ACC1000186,44,61255.89,678,Travel Rewards,24.89,1092.11,1330.77,14.07,10.84,Email,Asia Pacific,Student,1,1,2024-05-26
ACC1000187,37,58444.26,850,Travel Rewards,24.27,4177.83,4101.89,88.61,24.62,Phone Call,Middle East,SME,1,1,2025-06-20
ACC1000188,38,65809.4,703,Premium Lifestyle,14.66,32188.04,1128.1,107.36,31.11,Phone Call,Asia Pacific,Mass Market,0,1,2025-09-25
ACC1000189,56,15000.0,748,Low Interest,9.42,17081.44,3094.73,22.4,12.72,Social Media,Europe,Student,1,1,2025-02-19
ACC1000190,31,47786.21,763,Travel Rewards,10.2,32240.11,3523.55,34.96,29.01,Social Media,Asia Pacific,HNI,0,1,2025-08-09
ACC1000191,59,131537.59,792,Dining Rewards,10.53,18749.54,2408.13,13.67,5.85,Branch,Asia Pacific,SME,0,0,2025-03-14
ACC1000192,37,57497.63,621,Cashback,18.85,24564.39,3102.74,141.23,29.71,Branch,Europe,Mass Market,1,1,2026-01-18
ACC1000193,59,15000.0,690,Travel Rewards,26.89,38510.13,1196.47,95.43,9.74,Phone Call,Latin America,SME,0,1,2026-01-05
ACC1000194,56,46378.15,642,Travel Rewards,28.61,48766.9,2661.33,70.04,34.57,Phone Call,Latin America,Student,1,1,2025-05-27
ACC1000195,56,15000.0,753,Cashback,15.42,45091.83,250.58,102.93,38.72,Email,Asia Pacific,Affluent,1,1,2025-02-28
